Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Radial Distance from Sun,10,0.084347904,0.08434790045738819,1.0,IBS_N
Electronic Box Temperature,10,0.06645574,0.06645573720885904,1.0,IBS_N
Solar Wind Analyser temperature,10,0.04946822,0.04946821792233485,1.0,IBS_N
Out Board Sensor Temperature,10,0.07840809,0.07840808670686036,1.0,IBS_N
In Board Sensor Temperature,10,0.048533324,0.048533321961600484,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,10,0.11690432,0.11690431509001878,1.0,IBS_N
Heater Dutycycle,10,0.16076115,0.16076114324803198,1.0,IBS_N
Search Coil Magnetometer's Temperature,10,0.1640825,0.1640824931085353,1.0,IBS_N
High Gain Antenna Azimuth,10,0.12845479,0.12845478460489906,1.0,IBS_N
High Gain Antenna elevation,10,0.102584004,0.10258399969147203,1.0,IBS_N
Radial Distance from Sun,20,0.06598002,0.06598001881235967,1.0,IBS_N
Electronic Box Temperature,20,0.06662235,0.06662234880079772,1.0,IBS_N
Solar Wind Analyser temperature,20,0.052179076,0.05217907506077665,1.0,IBS_N
Out Board Sensor Temperature,20,0.07694492,0.07694491861499148,1.0,IBS_N
In Board Sensor Temperature,20,0.14659281,0.14659280736132946,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,20,0.28761002,0.2876100148230198,1.0,IBS_N
Heater Dutycycle,20,0.044038646,0.04403864520730439,1.0,IBS_N
Search Coil Magnetometer's Temperature,20,0.09472992,0.09472991829486148,1.0,IBS_N
High Gain Antenna Azimuth,20,0.070216686,0.07021668473609968,1.0,IBS_N
High Gain Antenna elevation,20,0.09508557,0.09508556828845977,1.0,IBS_N
Radial Distance from Sun,30,0.08535461,0.08535461042677304,1.0,IBS_N
Electronic Box Temperature,30,0.07083159,0.07083159035415795,1.0,IBS_N
Out Board Sensor Temperature,30,0.09963068,0.09963068049815339,1.0,IBS_N
In Board Sensor Temperature,30,0.11034283,0.11034283055171415,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,30,0.22276232,0.2227623211138116,1.0,IBS_N
Heater Dutycycle,30,0.049114253,0.04911425324557126,1.0,IBS_N
Search Coil Magnetometer's Temperature,30,0.08247373,0.08247373041236865,1.0,IBS_N
Solar Array's Angle,30,0.024573522,0.02457352212286761,1.0,IBS_N
High Gain Antenna Azimuth,30,0.10576698,0.10576698052883489,1.0,IBS_N
High Gain Antenna elevation,30,0.14914948,0.1491494807457474,1.0,IBS_N
Radial Distance from Sun,40,0.06232678,0.06232678317866594,1.0,IBS_N
