Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Electronic Box Temperature(DegC),20,0.12022068,0.1830053311654007,1.0,IBS_N
Solar Wind Analyser temperature(DegC),20,0.020199286,0.030748262476427864,1.0,IBS_N
Out Board Sensor Temperature(Deg C),20,0.060102608,0.09149089558422278,1.0,IBS_N
In Board Sensor Temperature(Deg C),20,0.2293,0.34905078257938965,1.0,IBS_N
Search Coil Magnetometer's Temperature(Deg C),20,0.19466479,0.2963275067167577,1.0,IBS_N
Solar Array's Angle(Deg C),20,0.032437105,0.04937722147780128,1.0,IBS_N
Electronic Box Temperature(DegC),40,0.2638467,0.5735918130735054,0.9999999999999999,IBS_N
Solar Wind Analyser temperature(DegC),40,0.020936163,0.045514352440157266,0.9999999999999999,IBS_N
Out Board Sensor Temperature(Deg C),40,0.03710812,0.0806715180843619,0.9999999999999999,IBS_N
In Board Sensor Temperature(Deg C),40,0.03966258,0.08622480847163508,0.9999999999999999,IBS_N
Search Coil Magnetometer's Temperature(Deg C),40,0.09253116,0.20115891474175962,0.9999999999999999,IBS_N
Solar Array's Angle(Deg C),40,0.005905629,0.012838593188580615,0.9999999999999999,IBS_N
Electronic Box Temperature(DegC),60,0.31658727,0.6688041472966387,1.0,IBS_N
Solar Wind Analyser temperature(DegC),60,0.027470816,0.058033273638649026,1.0,IBS_N
Out Board Sensor Temperature(Deg C),60,0.045625176,0.09638513554237059,1.0,IBS_N
In Board Sensor Temperature(Deg C),60,0.021955965,0.046382915048668406,1.0,IBS_N
Search Coil Magnetometer's Temperature(Deg C),60,0.058062837,0.12266022632372026,1.0,IBS_N
Solar Array's Angle(Deg C),60,0.003661134,0.007734302149952942,1.0,IBS_N
Electronic Box Temperature(DegC),80,0.19486319,0.44705321242611656,0.9999999999999998,IBS_N
Solar Wind Analyser temperature(DegC),80,0.024749191,0.05677935038165768,0.9999999999999998,IBS_N
Out Board Sensor Temperature(Deg C),80,0.07107204,0.16305277459369036,0.9999999999999998,IBS_N
In Board Sensor Temperature(Deg C),80,0.08931089,0.20489616473555386,0.9999999999999998,IBS_N
Search Coil Magnetometer's Temperature(Deg C),80,0.04758134,0.10916064187668938,0.9999999999999998,IBS_N
Solar Array's Angle(Deg C),80,0.008307008,0.01905785598629197,0.9999999999999998,IBS_N
Electronic Box Temperature(DegC),100,0.18541104,0.4705412864357643,1.0,IBS_N
Solar Wind Analyser temperature(DegC),100,0.017299874,0.043904100678884235,1.0,IBS_N
Out Board Sensor Temperature(Deg C),100,0.09782866,0.24827229018664151,1.0,IBS_N
In Board Sensor Temperature(Deg C),100,0.04381152,0.11118609216315392,1.0,IBS_N
Search Coil Magnetometer's Temperature(Deg C),100,0.04361181,0.11067926257892804,1.0,IBS_N
Solar Array's Angle(Deg C),100,0.0060748677,0.015416967956628003,1.0,IBS_N
Electronic Box Temperature(DegC),120,0.18292938,0.455231464532863,0.9999999999999998,IBS_N
Solar Wind Analyser temperature(DegC),120,0.024641972,0.061323123724236116,0.9999999999999998,IBS_N
Out Board Sensor Temperature(Deg C),120,0.08634546,0.21487620092280277,0.9999999999999998,IBS_N
In Board Sensor Temperature(Deg C),120,0.05663188,0.14093205624842414,0.9999999999999998,IBS_N
Search Coil Magnetometer's Temperature(Deg C),120,0.037850343,0.09419299992686359,0.9999999999999998,IBS_N
Solar Array's Angle(Deg C),120,0.013439138,0.03344415464481021,0.9999999999999998,IBS_N
Electronic Box Temperature(DegC),140,0.20707491,0.4794991965805985,0.9999999999999998,IBS_N
Solar Wind Analyser temperature(DegC),140,0.019352892,0.04481323288036727,0.9999999999999998,IBS_N
Out Board Sensor Temperature(Deg C),140,0.054426964,0.12603016710388118,0.9999999999999998,IBS_N
In Board Sensor Temperature(Deg C),140,0.09411126,0.21792245887822825,0.9999999999999998,IBS_N
Search Coil Magnetometer's Temperature(Deg C),140,0.03668178,0.08493971596629579,0.9999999999999998,IBS_N
Solar Array's Angle(Deg C),140,0.02020883,0.04679522859062885,0.9999999999999998,IBS_N
Electronic Box Temperature(DegC),160,0.13887003,0.36314336388555485,1.0,IBS_N
